,dttl,swin,dwin,tcprtt,synack,ackdat,label,attack_cat_Analysis,attack_cat_DoS,attack_cat_Exploits,attack_cat_Normal
214,29,0,0,0.0,0.0,0.0,6,0,0,0,1
216,29,0,0,0.0,0.0,0.0,6,0,0,0,1
217,29,0,0,0.0,0.0,0.0,6,0,0,0,1
218,29,255,255,0.00066,0.000535,0.000125,6,0,0,0,1
219,29,0,0,0.0,0.0,0.0,6,0,0,0,1
220,29,0,0,0.0,0.0,0.0,6,0,0,0,1
221,29,255,255,0.000761,0.000615,0.000146,6,0,0,0,1
222,29,0,0,0.0,0.0,0.0,6,0,0,0,1
223,29,0,0,0.0,0.0,0.0,6,0,0,0,1
224,29,0,0,0.0,0.0,0.0,6,0,0,0,1
225,29,0,0,0.0,0.0,0.0,6,0,0,0,1
228,29,0,0,0.0,0.0,0.0,6,0,0,0,1
230,29,0,0,0.0,0.0,0.0,6,0,0,0,1
231,29,0,0,0.0,0.0,0.0,6,0,0,0,1
237,29,0,0,0.0,0.0,0.0,6,0,0,0,1
240,29,0,0,0.0,0.0,0.0,6,0,0,0,1
241,29,0,0,0.0,0.0,0.0,6,0,0,0,1
243,29,0,0,0.0,0.0,0.0,6,0,0,0,1
245,29,0,0,0.0,0.0,0.0,6,0,0,0,1
248,29,0,0,0.0,0.0,0.0,6,0,0,0,1
249,29,0,0,0.0,0.0,0.0,6,0,0,0,1
255,29,0,0,0.0,0.0,0.0,6,0,0,0,1
260,29,0,0,0.0,0.0,0.0,6,0,0,0,1
265,29,0,0,0.0,0.0,0.0,6,0,0,0,1
268,29,0,0,0.0,0.0,0.0,6,0,0,0,1
270,29,0,0,0.0,0.0,0.0,6,0,0,0,1
273,29,0,0,0.0,0.0,0.0,6,0,0,0,1
276,29,255,255,0.000696,0.000543,0.000153,6,0,0,0,1
280,29,0,0,0.0,0.0,0.0,6,0,0,0,1
281,29,0,0,0.0,0.0,0.0,6,0,0,0,1
283,29,0,0,0.0,0.0,0.0,6,0,0,0,1
284,29,0,0,0.0,0.0,0.0,6,0,0,0,1
286,29,0,0,0.0,0.0,0.0,6,0,0,0,1
287,29,0,0,0.0,0.0,0.0,6,0,0,0,1
288,29,0,0,0.0,0.0,0.0,6,0,0,0,1
289,29,0,0,0.0,0.0,0.0,6,0,0,0,1
290,29,0,0,0.0,0.0,0.0,6,0,0,0,1
291,29,0,0,0.0,0.0,0.0,6,0,0,0,1
292,29,0,0,0.0,0.0,0.0,6,0,0,0,1
293,29,0,0,0.0,0.0,0.0,6,0,0,0,1
294,29,255,255,0.000589,0.000464,0.000125,6,0,0,0,1
295,29,0,0,0.0,0.0,0.0,6,0,0,0,1
296,29,255,255,0.003238,0.003104,0.000134,6,0,0,0,1
297,29,0,0,0.0,0.0,0.0,6,0,0,0,1
299,29,0,0,0.0,0.0,0.0,6,0,0,0,1
300,29,0,0,0.0,0.0,0.0,6,0,0,0,1
302,29,0,0,0.0,0.0,0.0,6,0,0,0,1
303,29,0,0,0.0,0.0,0.0,6,0,0,0,1
305,29,0,0,0.0,0.0,0.0,6,0,0,0,1
306,29,0,0,0.0,0.0,0.0,6,0,0,0,1
307,29,0,0,0.0,0.0,0.0,6,0,0,0,1
308,29,0,0,0.0,0.0,0.0,6,0,0,0,1
309,29,0,0,0.0,0.0,0.0,6,0,0,0,1
313,29,0,0,0.0,0.0,0.0,6,0,0,0,1
314,29,255,255,0.000612,0.000486,0.000126,6,0,0,0,1
315,29,0,0,0.0,0.0,0.0,6,0,0,0,1
317,29,0,0,0.0,0.0,0.0,6,0,0,0,1
322,29,0,0,0.0,0.0,0.0,6,0,0,0,1
323,29,0,0,0.0,0.0,0.0,6,0,0,0,1
326,29,0,0,0.0,0.0,0.0,6,0,0,0,1
327,29,0,0,0.0,0.0,0.0,6,0,0,0,1
329,29,0,0,0.0,0.0,0.0,6,0,0,0,1
331,29,0,0,0.0,0.0,0.0,6,0,0,0,1
332,29,0,0,0.0,0.0,0.0,6,0,0,0,1
334,29,0,0,0.0,0.0,0.0,6,0,0,0,1
336,29,0,0,0.0,0.0,0.0,6,0,0,0,1
337,29,0,0,0.0,0.0,0.0,6,0,0,0,1
341,29,0,0,0.0,0.0,0.0,6,0,0,0,1
344,29,0,0,0.0,0.0,0.0,6,0,0,0,1
345,29,0,0,0.0,0.0,0.0,6,0,0,0,1
347,29,0,0,0.0,0.0,0.0,6,0,0,0,1
348,29,0,0,0.0,0.0,0.0,6,0,0,0,1
349,29,255,255,0.000667,0.000533,0.000134,6,0,0,0,1
350,29,0,0,0.0,0.0,0.0,6,0,0,0,1
351,29,0,0,0.0,0.0,0.0,6,0,0,0,1
352,29,0,0,0.0,0.0,0.0,6,0,0,0,1
354,29,255,255,0.000671,0.000544,0.000127,6,0,0,0,1
355,29,255,255,0.000692,0.000559,0.000133,6,0,0,0,1
356,29,255,255,0.000698,0.000554,0.000144,6,0,0,0,1
357,29,255,255,0.000976,0.000833,0.000143,6,0,0,0,1
358,29,255,255,0.000701,0.000559,0.000142,6,0,0,0,1
359,29,255,255,0.000689,0.00054,0.000149,6,0,0,0,1
361,29,255,255,0.000721,0.000568,0.000153,6,0,0,0,1
362,29,255,255,0.00068,0.000533,0.000147,6,0,0,0,1
363,29,255,255,0.000732,0.000574,0.000158,6,0,0,0,1
364,29,255,255,0.000764,0.000598,0.000166,6,0,0,0,1
366,29,255,255,0.000713,0.000455,0.000258,6,0,0,0,1
367,29,255,255,0.000709,0.000544,0.000165,6,0,0,0,1
370,29,255,255,0.031066,0.030147,0.000919,6,0,0,0,1
371,29,255,255,0.001088,0.000949,0.000139,6,0,0,0,1
373,29,255,255,0.000716,0.000554,0.000162,6,0,0,0,1
374,29,255,255,0.000724,0.000581,0.000143,6,0,0,0,1
376,29,255,255,0.000685,0.00054,0.000145,6,0,0,0,1
377,29,255,255,0.00068,0.000553,0.000127,6,0,0,0,1
379,29,255,255,0.0007,0.000546,0.000154,6,0,0,0,1
380,29,255,255,0.000666,0.000532,0.000134,6,0,0,0,1
381,29,0,0,0.0,0.0,0.0,6,0,0,0,1
382,29,255,255,0.000696,0.000553,0.000143,6,0,0,0,1
384,29,0,0,0.0,0.0,0.0,6,0,0,0,1
387,29,255,255,0.000686,0.000552,0.000134,6,0,0,0,1
391,29,255,255,0.000701,0.000562,0.000139,6,0,0,0,1
395,29,0,0,0.0,0.0,0.0,6,0,0,0,1
396,29,0,0,0.0,0.0,0.0,6,0,0,0,1
399,29,255,255,0.001208,0.001047,0.000161,6,0,0,0,1
405,29,255,255,0.000636,0.00051,0.000126,6,0,0,0,1
406,29,255,255,0.000644,0.000514,0.00013,6,0,0,0,1
410,29,255,255,0.000677,0.000533,0.000144,6,0,0,0,1
414,29,255,255,0.000722,0.000576,0.000146,6,0,0,0,1
415,29,0,0,0.0,0.0,0.0,6,0,0,0,1
427,29,255,255,0.000719,0.000584,0.000135,6,0,0,0,1
428,29,255,255,0.000736,0.000578,0.000158,6,0,0,0,1
429,29,255,255,0.000792,0.000627,0.000165,6,0,0,0,1
431,29,255,255,0.000715,0.000574,0.000141,6,0,0,0,1
432,29,255,255,0.000701,0.000539,0.000162,6,0,0,0,1
434,29,255,255,0.000702,0.000555,0.000147,6,0,0,0,1
436,29,255,255,0.000709,0.00057,0.000139,6,0,0,0,1
437,29,255,255,0.000711,0.000553,0.000158,6,0,0,0,1
438,29,255,255,0.000688,0.000544,0.000144,6,0,0,0,1
439,29,255,255,0.00071,0.000568,0.000142,6,0,0,0,1
440,29,255,255,0.00069,0.000551,0.000139,6,0,0,0,1
441,29,255,255,0.000697,0.000547,0.00015,6,0,0,0,1
442,29,255,255,0.000681,0.000537,0.000144,6,0,0,0,1
444,29,255,255,0.000747,0.000584,0.000163,6,0,0,0,1
445,29,255,255,0.000725,0.00058,0.000145,6,0,0,0,1
446,29,255,255,0.000699,0.000574,0.000125,6,0,0,0,1
448,29,255,255,0.000757,0.000587,0.00017,6,0,0,0,1
449,29,0,0,0.0,0.0,0.0,6,0,0,0,1
450,29,255,255,0.000709,0.000569,0.00014,6,0,0,0,1
451,29,255,255,0.000682,0.000538,0.000144,6,0,0,0,1
458,29,255,255,0.000688,0.000574,0.000114,6,0,0,0,1
460,29,255,255,0.000716,0.000579,0.000137,6,0,0,0,1
461,29,255,255,0.000711,0.00056,0.000151,6,0,0,0,1
463,29,255,255,0.000743,0.000571,0.000172,6,0,0,0,1
464,29,255,255,0.000697,0.000555,0.000142,6,0,0,0,1
466,29,255,255,0.000648,0.00052,0.000128,6,0,0,0,1
471,29,255,255,0.000582,0.00045,0.000132,6,0,0,0,1
472,29,0,0,0.0,0.0,0.0,6,0,0,0,1
477,29,0,0,0.0,0.0,0.0,6,0,0,0,1
479,29,255,255,0.0007,0.000556,0.000144,6,0,0,0,1
480,29,255,255,0.00075,0.000582,0.000168,6,0,0,0,1
482,29,0,0,0.0,0.0,0.0,6,0,0,0,1
487,29,0,0,0.0,0.0,0.0,6,0,0,0,1
492,29,255,255,0.000664,0.000527,0.000137,6,0,0,0,1
495,29,255,255,0.000722,0.000565,0.000157,6,0,0,0,1
496,29,255,255,0.000736,0.000573,0.000163,6,0,0,0,1
497,29,255,255,0.000687,0.000544,0.000143,6,0,0,0,1
498,29,255,255,0.000676,0.000535,0.000141,6,0,0,0,1
499,29,255,255,0.000708,0.00056,0.000148,6,0,0,0,1
500,29,255,255,0.000659,0.000517,0.000142,6,0,0,0,1
501,29,255,255,0.000691,0.000546,0.000145,6,0,0,0,1
502,29,255,255,0.0007,0.000544,0.000156,6,0,0,0,1
503,29,255,255,0.000695,0.000546,0.000149,6,0,0,0,1
504,29,255,255,0.000729,0.000579,0.00015,6,0,0,0,1
505,29,255,255,0.000703,0.000537,0.000166,6,0,0,0,1
508,29,255,255,0.000725,0.000579,0.000146,6,0,0,0,1
511,29,255,255,0.000715,0.000572,0.000143,6,0,0,0,1
512,29,255,255,0.000844,0.000718,0.000126,6,0,0,0,1
513,29,255,255,0.000682,0.000548,0.000134,6,0,0,0,1
514,29,255,255,0.000701,0.000563,0.000138,6,0,0,0,1
515,29,255,255,0.000816,0.000657,0.000159,6,0,0,0,1
516,29,255,255,0.000725,0.000564,0.000161,6,0,0,0,1
517,29,255,255,0.00069,0.00055,0.00014,6,0,0,0,1
518,29,255,255,0.000667,0.000541,0.000126,6,0,0,0,1
519,29,255,255,0.000727,0.000569,0.000158,6,0,0,0,1
520,29,255,255,0.000635,0.00051,0.000125,6,0,0,0,1
521,29,255,255,0.000707,0.000562,0.000145,6,0,0,0,1
522,29,0,0,0.0,0.0,0.0,6,0,0,0,1
523,29,255,255,0.000689,0.00054,0.000149,6,0,0,0,1
524,29,255,255,0.000715,0.000564,0.000151,6,0,0,0,1
525,29,255,255,0.00081,0.000685,0.000125,6,0,0,0,1
526,29,255,255,0.000721,0.000583,0.000138,6,0,0,0,1
527,29,255,255,0.000766,0.000595,0.000171,6,0,0,0,1
529,29,255,255,0.000681,0.000539,0.000142,6,0,0,0,1
531,29,255,255,0.000679,0.000535,0.000144,6,0,0,0,1
532,29,255,255,0.000678,0.000531,0.000147,6,0,0,0,1
534,29,255,255,0.000647,0.000517,0.00013,6,0,0,0,1
536,29,255,255,0.00066,0.000525,0.000135,6,0,0,0,1
537,29,255,255,0.000919,0.000498,0.000421,6,0,0,0,1
539,29,0,0,0.0,0.0,0.0,6,0,0,0,1
543,29,255,255,0.00066,0.000548,0.000112,6,0,0,0,1
545,29,255,255,0.000766,0.000604,0.000162,6,0,0,0,1
546,29,255,255,0.001323,0.001207,0.000116,6,0,0,0,1
547,29,255,255,0.000727,0.000569,0.000158,6,0,0,0,1
549,29,255,255,0.000764,0.000598,0.000166,6,0,0,0,1
556,29,255,255,0.000674,0.000535,0.000139,6,0,0,0,1
563,29,255,255,0.000724,0.000578,0.000146,6,0,0,0,1
565,29,255,255,0.000662,0.000539,0.000123,6,0,0,0,1
567,29,255,255,0.000607,0.000483,0.000124,6,0,0,0,1
572,29,255,255,0.000641,0.000515,0.000126,6,0,0,0,1
575,29,255,255,0.052889,0.021042,0.031847,6,0,0,0,1
580,29,255,255,0.001012,0.000889,0.000123,6,0,0,0,1
589,29,0,0,0.0,0.0,0.0,6,0,0,0,1
591,29,0,0,0.0,0.0,0.0,6,0,0,0,1
594,29,0,0,0.0,0.0,0.0,6,0,0,0,1
596,29,255,255,0.000572,0.000455,0.000117,6,0,0,0,1
599,29,255,255,0.000735,0.000576,0.000159,6,0,0,0,1
600,29,0,0,0.0,0.0,0.0,6,0,0,0,1
601,29,0,0,0.0,0.0,0.0,6,0,0,0,1
622,29,255,255,0.000716,0.00057,0.000146,6,0,0,0,1
623,29,0,0,0.0,0.0,0.0,6,0,0,0,1
625,29,255,255,0.000729,0.000585,0.000144,6,0,0,0,1
649,29,0,0,0.0,0.0,0.0,6,0,0,0,1
653,29,255,255,0.000665,0.000529,0.000136,6,0,0,0,1
658,29,0,0,0.0,0.0,0.0,6,0,0,0,1
660,29,255,255,0.000713,0.00057,0.000143,6,0,0,0,1
670,29,255,255,0.00076,0.000501,0.000259,6,0,0,0,1
671,29,0,0,0.0,0.0,0.0,6,0,0,0,1
674,29,255,255,0.000694,0.000548,0.000146,6,0,0,0,1
680,29,255,255,0.000661,0.000523,0.000138,6,0,0,0,1
689,29,255,255,0.000668,0.000527,0.000141,6,0,0,0,1
690,29,255,255,0.000697,0.000549,0.000148,6,0,0,0,1
692,29,0,0,0.0,0.0,0.0,6,0,0,0,1
693,29,255,255,0.032978,0.031203,0.001775,6,0,0,0,1
695,29,255,255,0.049996,0.048159,0.001837,6,0,0,0,1
706,29,255,255,0.006269,0.006103,0.000166,6,0,0,0,1
708,29,255,255,0.000613,0.000499,0.000114,6,0,0,0,1
734,29,255,255,0.000649,0.000524,0.000125,6,0,0,0,1
736,29,255,255,0.000688,0.000548,0.00014,6,0,0,0,1
741,29,255,255,0.000596,0.000468,0.000128,6,0,0,0,1
743,29,255,255,0.000671,0.000562,0.000109,6,0,0,0,1
753,29,0,0,0.0,0.0,0.0,6,0,0,0,1
768,29,255,255,0.000703,0.000559,0.000144,6,0,0,0,1
769,29,255,255,0.000724,0.000576,0.000148,6,0,0,0,1
774,29,255,255,0.000727,0.000577,0.00015,6,0,0,0,1
776,29,0,0,0.0,0.0,0.0,6,0,0,0,1
778,29,0,0,0.0,0.0,0.0,6,0,0,0,1
783,29,255,255,0.000647,0.000513,0.000134,6,0,0,0,1
791,29,255,255,0.000587,0.000469,0.000118,6,0,0,0,1
797,29,255,255,0.000687,0.000536,0.000151,6,0,0,0,1
814,29,0,0,0.0,0.0,0.0,6,0,0,0,1
828,29,255,255,0.099999,0.095245,0.004754,6,0,0,0,1
842,29,255,255,0.000575,0.000459,0.000116,6,0,0,0,1
855,29,255,255,0.000682,0.000542,0.00014,6,0,0,0,1
860,29,255,255,0.000649,0.000522,0.000127,6,0,0,0,1
863,29,255,255,0.000704,0.00055,0.000154,6,0,0,0,1
894,29,255,255,0.000644,0.00051,0.000134,6,0,0,0,1
899,29,255,255,0.000769,0.000626,0.000143,6,0,0,0,1
900,29,255,255,0.000731,0.000572,0.000159,6,0,0,0,1
901,29,255,255,0.059941,0.059108,0.000833,6,0,0,0,1
911,29,255,255,0.02092,0.01611,0.00481,6,0,0,0,1
912,29,255,255,0.000635,0.000519,0.000116,6,0,0,0,1
927,29,255,255,0.000579,0.000458,0.000121,6,0,0,0,1
940,29,0,0,0.0,0.0,0.0,6,0,0,0,1
955,29,0,0,0.0,0.0,0.0,6,0,0,0,1
957,29,255,255,0.000608,0.000491,0.000117,6,0,0,0,1
958,29,255,255,0.000559,0.000439,0.00012,6,0,0,0,1
959,29,255,255,0.000601,0.000463,0.000138,6,0,0,0,1
960,29,0,0,0.0,0.0,0.0,6,0,0,0,1
961,29,255,255,0.000673,0.000514,0.000159,6,0,0,0,1
966,29,0,0,0.0,0.0,0.0,6,0,0,0,1
973,29,255,255,0.00066,0.000534,0.000126,6,0,0,0,1
976,29,0,0,0.0,0.0,0.0,6,0,0,0,1
982,29,255,255,0.000658,0.000532,0.000126,6,0,0,0,1
987,29,0,0,0.0,0.0,0.0,6,0,0,0,1
997,29,255,255,0.000641,0.000491,0.00015,6,0,0,0,1
999,29,255,255,0.00095,0.000468,0.000482,6,0,0,0,1
1001,29,255,255,0.00058,0.000461,0.000119,6,0,0,0,1
1010,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1011,29,255,255,0.001171,0.000453,0.000718,6,0,0,0,1
1012,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1013,29,255,255,0.000659,0.000536,0.000123,6,0,0,0,1
1021,29,255,255,0.000646,0.000523,0.000123,6,0,0,0,1
1026,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1051,29,255,255,0.001432,0.000469,0.000963,6,0,0,0,1
1087,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1093,29,255,255,0.000709,0.000555,0.000154,6,0,0,0,1
1095,29,255,255,0.000642,0.000515,0.000127,6,0,0,0,1
1106,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1113,29,255,255,0.000653,0.000526,0.000127,6,0,0,0,1
1119,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1123,29,255,255,0.000871,0.00073,0.000141,6,0,0,0,1
1125,29,255,255,0.006108,0.005966,0.000142,6,0,0,0,1
1133,29,255,255,0.000591,0.00047,0.000121,6,0,0,0,1
1141,29,255,255,0.000582,0.000459,0.000123,6,0,0,0,1
1144,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1149,29,255,255,0.000886,0.000741,0.000145,6,0,0,0,1
1151,29,255,255,0.000742,0.000589,0.000153,6,0,0,0,1
1153,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1155,29,255,255,0.000607,0.000493,0.000114,6,0,0,0,1
1188,29,255,255,0.00079,0.000638,0.000152,6,0,0,0,1
1189,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1201,29,255,255,0.000962,0.000562,0.0004,6,0,0,0,1
1207,29,255,255,0.000813,0.000621,0.000192,6,0,0,0,1
1211,29,255,255,0.000698,0.000552,0.000146,6,0,0,0,1
1220,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1222,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1228,29,255,255,0.000605,0.000474,0.000131,6,0,0,0,1
1235,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1239,29,255,255,0.000676,0.000536,0.00014,6,0,0,0,1
1240,29,255,255,0.000676,0.000525,0.000151,6,0,0,0,1
1253,29,255,255,0.000727,0.000603,0.000124,6,0,0,0,1
1255,29,255,255,0.046983,0.046146,0.000837,6,0,0,0,1
1256,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1262,29,255,255,0.001505,0.000466,0.001039,6,0,0,0,1
1266,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1269,29,255,255,0.000722,0.000584,0.000138,6,0,0,0,1
1270,29,255,255,0.022387,0.022198,0.000189,6,0,0,0,1
1292,29,255,255,0.000617,0.000485,0.000132,6,0,0,0,1
1293,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1294,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1298,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1299,29,255,255,0.000583,0.000469,0.000114,6,0,0,0,1
1300,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1301,29,255,255,0.000654,0.000531,0.000123,6,0,0,0,1
1307,29,255,255,0.000644,0.000516,0.000128,6,0,0,0,1
1311,29,255,255,0.000665,0.00053,0.000135,6,0,0,0,1
1317,29,255,255,0.00059,0.000476,0.000114,6,0,0,0,1
1319,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1325,29,255,255,0.000597,0.000474,0.000123,6,0,0,0,1
1330,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1341,29,255,255,0.000727,0.000577,0.00015,6,0,0,0,1
1345,29,255,255,0.00076,0.0006,0.00016,6,0,0,0,1
1347,29,255,255,0.000576,0.00046,0.000116,6,0,0,0,1
1361,29,255,255,0.000747,0.000584,0.000163,6,0,0,0,1
1370,29,255,255,0.000691,0.000543,0.000148,6,0,0,0,1
1373,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1374,29,255,255,0.000766,0.000625,0.000141,6,0,0,0,1
1378,29,255,255,0.000645,0.000518,0.000127,6,0,0,0,1
1380,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1382,29,255,255,0.000653,0.000521,0.000132,6,0,0,0,1
1386,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1388,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1393,29,255,255,0.000679,0.000535,0.000144,6,0,0,0,1
1400,29,255,255,0.000661,0.000532,0.000129,6,0,0,0,1
1404,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1412,29,255,255,0.000942,0.000532,0.00041,6,0,0,0,1
1418,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1419,29,255,255,0.00073,0.000566,0.000164,6,0,0,0,1
1423,29,255,255,0.000607,0.000486,0.000121,6,0,0,0,1
1424,29,255,255,0.000586,0.000464,0.000122,6,0,0,0,1
1430,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1433,29,255,255,0.000607,0.000484,0.000123,6,0,0,0,1
1435,29,255,255,0.000621,0.000497,0.000124,6,0,0,0,1
1444,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1445,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1446,29,255,255,0.000697,0.000566,0.000131,6,0,0,0,1
1447,29,255,255,0.000586,0.000464,0.000122,6,0,0,0,1
1448,29,255,255,0.000609,0.000494,0.000115,6,0,0,0,1
1461,29,255,255,0.000663,0.000544,0.000119,6,0,0,0,1
1462,29,255,255,0.000621,0.000493,0.000128,6,0,0,0,1
1465,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1473,29,255,255,0.000623,0.000507,0.000116,6,0,0,0,1
1478,29,255,255,0.000633,0.000504,0.000129,6,0,0,0,1
1481,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1487,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1489,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1490,29,255,255,0.000691,0.000541,0.00015,6,0,0,0,1
1491,29,255,255,0.000724,0.000572,0.000152,6,0,0,0,1
1498,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1502,29,255,255,0.000689,0.000548,0.000141,6,0,0,0,1
1503,29,255,255,0.000613,0.000484,0.000129,6,0,0,0,1
1505,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1510,29,255,255,0.000692,0.000551,0.000141,6,0,0,0,1
1515,29,255,255,0.000698,0.000541,0.000157,6,0,0,0,1
1516,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1519,29,255,255,0.000702,0.000558,0.000144,6,0,0,0,1
1521,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1524,29,255,255,0.000641,0.000528,0.000113,6,0,0,0,1
1525,29,255,255,0.000608,0.000485,0.000123,6,0,0,0,1
1530,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1538,29,255,255,0.000699,0.000548,0.000151,6,0,0,0,1
1549,29,255,255,0.00071,0.000578,0.000132,6,0,0,0,1
1553,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1559,29,255,255,0.000742,0.000601,0.000141,6,0,0,0,1
1561,29,255,255,0.000656,0.000522,0.000134,6,0,0,0,1
1569,29,255,255,0.000695,0.000558,0.000137,6,0,0,0,1
1576,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1579,29,255,255,0.000593,0.000472,0.000121,6,0,0,0,1
1581,29,255,255,0.000686,0.000552,0.000134,6,0,0,0,1
1587,29,0,0,0.0,0.0,0.0,6,0,0,0,1
1592,29,255,255,0.000675,0.000531,0.000144,6,0,0,0,1
1601,29,255,255,0.000698,0.000565,0.000133,6,0,0,0,1
1604,29,255,255,0.006242,0.006107,0.000135,6,0,0,0,1
1613,29,255,255,0.000695,0.000558,0.000137,6,0,0,0,1
1619,29,255,255,0.000628,0.000516,0.000112,6,0,0,0,1
1620,29,255,255,0.000611,0.000472,0.000139,6,0,0,0,1
